#SectorID, SubstationID, CurrentDemandKW
Ind_A1, S_01, 4200.0
Res_B1, S_01, 800.0
Com_C1, S_02, 4500.0
Ind_A2, S_03, 3150.0
Res_B2, S_03, 400.0
Ind_A3, S_04, 7650.0
Res_B3, S_99, 500.0
Com_C2, S_06, 3000.0
Ind_A4, S_06, 2500.0
Ind_X1, S_05, 1000.0
Res_Y1, S_05, 500.0
Com_Z1, S_05, 1200.0
Ind_A5, S_07, 3900.0
Res_B4, S_07, 200.0
Com_C3, S_08, 9000.0
Ind_A6, S_08, 500.0
Res_B5, S_10, 5400.0
Com_C4, S_10, 600.0
Ind_A7, S_11, 7000.0
Res_B6, S_11, 500.0
Com_C5, S_12, 2000.0
Ind_A8, S_12, 1000.0
Res_B7, S_13, 550.0
Com_C6, S_14, 1000.0
Ind_A9, S_14, 1500.0
Res_B8, S_15, 1900.0
Com_C7, S_15, 200.0
Ind_AA, S_02, 1000.0
Res_BB, S_02, 500.0
Com_CC, S_04, 100.0
Ind_DD, S_09, 2400.0
Res_EE, S_09, 100.0
Com_FF, S_01, 50.0
Ind_GG, S_03, 200.0
Res_HH, S_05, 100.0
Com_II, S_07, 50.0
Ind_JJ, S_08, 100.0
Res_KK, S_10, 50.0
Com_LL, S_11, 50.0
Ind_MM, S_12, 50.0
Res_NN, S_13, 10.0
Com_OO, S_14, 10.0
Ind_PP, S_15, 10.0
Res_QQ, S_88, 1000.0
Com_RR, S_02, 200.0
